customer_id,age
1,26
2,34
3,26
4,36
5,24
6,16
7,34
8,23
9,19
10,28
11,27
12,33
13,33
14,29
15,23
16,30
17,29
18,31
19,23
20,26
21,31
22,35
23,34
24,28
25,25
26,30
27,21
28,23
29,37
30,30
31,26
32,33
33,36
34,25
35,25
36,25
37,34
38,34
39,36
40,34
41,18
42,30
43,22
44,25
45,29
46,33
47,23
48,16
49,29
50,44
51,27
52,28
53,39
54,32
55,29
56,31
57,30
58,21
59,20
60,39
61,29
62,29
63,27
64,33
65,43
66,31
67,24
68,27
69,34
70,25
71,33
72,16
73,27
74,32
75,36
76,23
77,19
78,26
79,21
80,27
81,28
82,20
83,33
84,27
85,34
86,17
87,22
88,31
89,23
90,27
91,28
92,29
93,24
94,29
95,23
96,32
97,27
98,29
99,43
100,21
101,36
102,16
103,16
104,21
105,21
106,29
107,30
108,26
109,27
110,31
111,33
112,20
113,26
114,28
115,31
116,23
117,27
118,28
119,24
120,24
121,29
122,27
123,31
124,22
125,26
126,27
127,33
128,22
129,29
130,30
131,38
132,22
133,24
134,22
135,18
136,39
137,21
138,23
139,36
140,17
141,33
142,20
143,35
144,16
145,17
146,25
147,34
148,28
149,26
150,36
151,41
152,32
153,24
154,25
155,20
156,29
157,18
158,31
159,40
160,32
161,25
162,31
163,38
164,37
165,22
166,31
167,27
168,33
169,30
170,16
171,26
172,29
173,19
174,31
175,19
176,23
177,36
178,23
179,31
180,17
181,40
182,26
183,29
184,29
185,32
186,19
187,28
188,24
189,18
190,34
191,26
192,29
193,29
194,26
195,40
196,28
197,19
198,26
199,31
200,31
201,21
202,34
203,17
204,35
205,20
206,27
207,34
208,29
209,33
210,32
211,36
212,34
213,25
214,32
215,19
216,28
217,33
218,29
219,31
220,27
221,35
222,28
223,25
224,33
225,20
226,31
227,22
228,36
229,26
230,29
231,30
232,16
233,24
234,34
235,33
236,30
237,20
238,32
239,32
240,28
241,35
242,24
243,25
244,16
245,34
246,30
247,18
248,17
249,23
250,33
251,26
252,23
253,22
254,22
255,16
256,21
257,22
258,32
259,27
260,23
261,42
262,24
263,35
264,38
265,19
266,28
267,25
268,24
269,31
270,24
271,25
272,27
273,26
274,21
275,33
276,34
277,30
278,26
279,24
280,24
281,42
282,34
283,23
284,29
285,26
286,32
287,31
288,35
289,23
290,29
291,18
292,20
293,33
294,22
295,23
296,28
297,32
298,22
299,16
300,23
301,35
302,30
303,36
304,21
305,18
306,31
307,29
308,30
309,34
310,31
311,30
312,32
313,31
314,33
315,34
316,37
317,24
318,31
319,26
320,23
321,24
322,31
323,31
324,30
325,27
326,28
327,33
328,19
329,28
330,29
331,33
332,20
333,37
334,29
335,30
336,26
337,31
338,28
339,35
340,19
341,29
342,30
343,27
344,26
345,26
346,29
347,17
348,34
349,25
350,29
351,30
352,25
353,27
354,16
355,32
356,34
357,18
358,26
359,21
360,27
361,32
362,34
363,35
364,36
365,27
366,21
367,27
368,32
369,21
370,38
371,33
372,27
373,24
374,24
375,28
376,27
377,34
378,26
379,31
380,28
381,30
382,27
383,32
384,32
385,31
386,32
387,22
388,30
389,35
390,31
391,22
392,28
393,30
394,23
395,20
396,26
397,24
398,28
399,18
400,31
401,24
402,34
403,26
404,28
405,27
406,24
407,43
408,25
409,34
410,21
411,30
412,31
413,28
414,25
415,26
416,26
417,42
418,28
419,31
420,39
421,23
422,28
423,26
424,27
425,27
426,24
427,29
428,22
429,34
430,32
431,25
432,25
433,30
434,23
435,39
436,30
437,30
438,32
439,25
440,35
441,29
442,34
443,27
444,36
445,30
446,41
447,26
448,29
449,22
450,25
451,32
452,35
453,46
454,27
455,22
456,33
457,21
458,31
459,25
460,29
461,35
462,27
463,34
464,33
465,17
466,23
467,19
468,40
469,27
470,39
471,18
472,25
473,33
474,29
475,31
476,20
477,36
478,33
479,30
480,24
481,30
482,26
483,18
484,28
485,27
486,34
487,16
488,29
489,21
490,30
491,30
492,27
493,33
494,21
495,35
496,24
497,19
498,26
499,16
500,30
501,43
502,56
503,51
504,32
505,37
506,50
507,53
508,56
509,56
510,44
511,48
512,57
513,42
514,48
515,42
516,40
517,45
518,39
519,44
520,36
521,43
522,49
523,40
524,45
525,46
526,49
527,44
528,55
529,26
530,71
531,37
532,49
533,37
534,51
535,47
536,39
537,55
538,44
539,50
540,37
541,45
542,63
543,54
544,48
545,41
546,46
547,47
548,49
549,35
550,51
551,35
552,60
553,38
554,48
555,54
556,43
557,48
558,58
559,50
560,48
561,30
562,37
563,54
564,50
565,51
566,51
567,57
568,43
569,46
570,36
571,33
572,30
573,37
574,59
575,31
576,42
577,33
578,40
579,47
580,39
581,55
582,59
583,25
584,39
585,46
586,55
587,41
588,45
589,35
590,31
591,58
592,29
593,66
594,52
595,51
596,50
597,43
598,49
599,43
600,50
601,45
602,36
603,37
604,36
605,54
606,39
607,28
608,49
609,59
610,52
611,40
612,31
613,44
614,44
615,36
616,50
617,62
618,47
619,46
620,37
621,58
622,44
623,40
624,46
625,49
626,46
627,56
628,48
629,42
630,49
631,49
632,33
633,55
634,42
635,43
636,52
637,52
638,39
639,52
640,40
641,61
642,38
643,47
644,38
645,65
646,34
647,50
648,38
649,42
650,49
651,56
652,60
653,31
654,47
655,58
656,30
657,48
658,45
659,49
660,38
661,32
662,28
663,54
664,55
665,48
666,40
667,30
668,50
669,35
670,39
671,40
672,43
673,38
674,45
675,39
676,51
677,54
678,46
679,49
680,64
681,34
682,34
683,51
684,63
685,43
686,61
687,46
688,39
689,36
690,51
691,37
692,46
693,59
694,42
695,57
696,34
697,40
698,32
699,46
700,52
701,46
702,56
703,38
704,47
705,40
706,48
707,50
708,50
709,35
710,37
711,39
712,43
713,46
714,51
715,37
716,31
717,64
718,35
719,53
720,45
721,47
722,45
723,42
724,49
725,41
726,55
727,50
728,50
729,40
730,43
731,34
732,42
733,36
734,57
735,45
736,47
737,43
738,47
739,67
740,42
741,39
742,50
743,22
744,46
745,42
746,36
747,50
748,45
749,29
750,39
751,19
752,48
753,48
754,38
755,50
756,33
757,36
758,49
759,39
760,44
761,40
762,41
763,42
764,39
765,48
766,39
767,45
768,38
769,31
770,53
771,49
772,66
773,36
774,43
775,44
776,54
777,40
778,34
779,56
780,42
781,53
782,52
783,45
784,43
785,41
786,45
787,53
788,38
789,46
790,35
791,36
792,45
793,27
794,64
795,34
796,45
797,56
798,37
799,24
800,41
801,56
802,46
803,64
804,63
805,70
806,54
807,51
808,59
809,61
810,68
811,72
812,71
813,64
814,68
815,58
816,63
817,54
818,62
819,63
820,74
821,60
822,63
823,64
824,59
825,56
826,71
827,55
828,53
829,67
830,70
831,59
832,59
833,64
834,57
835,57
836,68
837,66
838,71
839,53
840,58
841,64
842,56
843,66
844,71
845,58
846,62
847,72
848,75
849,67
850,66
851,56
852,65
853,66
854,61
855,58
856,53
857,50
858,48
859,66
860,63
861,59
862,60
863,63
864,61
865,53
866,68
867,64
868,64
869,68
870,56
871,70
872,61
873,68
874,67
875,55
876,66
877,64
878,62
879,61
880,61
881,68
882,66
883,62
884,52
885,65
886,67
887,78
888,70
889,49
890,63
891,75
892,66
893,64
894,68
895,58
896,65
897,60
898,62
899,68
900,56
901,71
902,59
903,64
904,52
905,67
906,72
907,58
908,54
909,64
910,72
911,52
912,54
913,59
914,56
915,56
916,47
917,66
918,64
919,50
920,72
921,74
922,57
923,70
924,58
925,63
926,56
927,77
928,60
929,63
930,57
931,75
932,75
933,73
934,69
935,58
936,68
937,62
938,71
939,70
940,57
941,69
942,67
943,43
944,68
945,59
946,56
947,56
948,61
949,65
950,52
951,63
952,66
953,75
954,54
955,60
956,64
957,70
958,60
959,70
960,48
961,53
962,64
963,52
964,54
965,58
966,67
967,49
968,63
969,69
970,61
971,59
972,65
973,61
974,72
975,54
976,62
977,63
978,59
979,42
980,61
981,68
982,67
983,64
984,54
985,65
986,58
987,64
988,63
989,55
990,56
991,64
992,60
993,56
994,56
995,60
996,73
997,58
998,62
999,63
1000,54
